classe,intensite_moyenne,ecart_type,est_outlier
Normal,0.5996269,0.24775246,Non
Normal,0.55979806,0.23435639,Non
Normal,0.59994674,0.28613758,Non
Normal,0.45002887,0.28414714,Non
Normal,0.5327956,0.26331377,Non
Normal,0.5150815,0.21912746,Non
Normal,0.5169792,0.24931563,Non
Normal,0.4235067,0.24369821,Non
Normal,0.64680064,0.23320355,Non
Normal,0.6475575,0.24328542,Non
Normal,0.4879386,0.24082981,Non
Normal,0.5229397,0.24628744,Non
Normal,0.6905861,0.18581499,Non
Normal,0.5029169,0.25165814,Non
Normal,0.36414397,0.28147233,Non
Normal,0.4187274,0.273379,Non
Normal,0.49102935,0.24850085,Non
Normal,0.645036,0.18831992,Non
Normal,0.43554103,0.2497821,Non
Normal,0.62430674,0.17874992,Non
Normal,0.38288465,0.2773185,Non
Normal,0.6828898,0.17623018,Non
Normal,0.37295288,0.18326956,Non
Normal,0.42109865,0.22634093,Non
Normal,0.4352629,0.26659477,Non
Normal,0.5690881,0.17499948,Non
Normal,0.53325117,0.25923008,Non
Normal,0.64796877,0.21911798,Non
Normal,0.6341436,0.15317349,Non
Normal,0.3909183,0.2633099,Non
Normal,0.49162683,0.26286513,Non
Normal,0.62984216,0.25694627,Non
Normal,0.54881245,0.1664472,Non
Normal,0.56244427,0.27585155,Non
Normal,0.49332318,0.20357822,Non
Normal,0.69854265,0.20812373,Non
Normal,0.4282708,0.16645935,Non
Normal,0.36861753,0.26545805,Non
Normal,0.41478953,0.2666369,Non
Normal,0.636177,0.24000435,Non
Normal,0.42477548,0.13206217,Oui
Normal,0.4339429,0.2684605,Non
Normal,0.4154648,0.22471385,Non
Normal,0.40406004,0.26571366,Non
Normal,0.5469001,0.2361928,Non
Normal,0.4587854,0.25206575,Non
Normal,0.47867027,0.24041715,Non
Normal,0.58738565,0.27813888,Non
Normal,0.46389097,0.28189608,Non
Normal,0.16345079,0.12582423,Oui
Normal,0.4169766,0.25270155,Non
Normal,0.56735533,0.22482303,Non
