UMAP 1,UMAP 2,UMAP 3,label
0.25769672,6.0914416,8.450511,Normal
2.1927962,3.6786625,7.3947334,Normal
-0.2866337,8.314901,8.353971,Normal
-0.14946796,5.0437446,7.527909,Normal
0.42825964,2.760954,8.575203,Normal
0.45103824,1.9759278,8.925463,Normal
0.8592806,2.001761,7.855771,Normal
6.9202156,4.4220233,7.3383827,Normal
0.78900284,3.6883605,6.9419346,Normal
6.783905,3.8625429,7.3267565,Normal
0.5282753,2.2411196,8.65593,Normal
0.95845926,4.539205,6.1771116,Normal
-1.0800549,3.3179717,8.651515,Normal
0.4430447,6.2645965,8.039262,Normal
1.4104946,6.943364,8.330839,Normal
-0.018764148,7.7300553,7.6368847,Normal
0.4463347,2.4053855,8.584839,Normal
1.1416768,4.76442,6.190659,Normal
-0.5527806,2.7740421,9.028932,Normal
1.7923552,2.8404422,6.5159984,Normal
0.5054688,2.7053225,8.3666525,Normal
0.26630422,4.891041,6.4910803,Normal
0.44426993,3.2666912,8.587257,Normal
-0.3922008,5.1640368,8.587545,Normal
0.8955775,7.611649,6.917093,Normal
-1.0893713,2.4983377,9.1100235,Normal
-0.2570232,8.171649,7.978228,Normal
3.0526319,2.2114627,7.1101537,Normal
0.8292062,3.3550706,6.2562995,Normal
2.9204905,2.0240312,4.7593236,Normal
6.7590714,5.122193,7.7235403,Normal
-0.8750659,2.7733836,8.675603,Normal
-0.75626105,3.8377354,8.845872,Normal
-0.11721315,8.294476,7.8516345,Normal
-0.51681626,3.2780874,9.261213,Normal
-0.32531038,4.011469,8.903655,Normal
0.47596595,3.1615746,7.9217124,Normal
0.6145432,7.1850953,7.2441587,Normal
-0.49663383,3.408532,9.305478,Normal
0.6320852,8.978534,7.5705748,Normal
1.2020278,7.060956,4.6108465,Normal
2.0765738,5.9794574,8.422423,Normal
-0.12854037,7.4815116,7.847757,Normal
0.14733127,2.4917488,8.709054,Normal
-0.14797965,2.1929154,9.140316,Normal
-0.752974,2.67545,8.954261,Normal
0.6413142,3.4400244,9.173667,Normal
0.74244463,3.234291,6.363693,Normal
1.2987386,4.296456,6.004226,Normal
1.6438103,7.742934,7.644795,Normal
-0.90700096,2.8935862,9.473896,Normal
6.7872024,4.982512,7.380618,Normal
0.6495067,3.6780105,9.16898,Normal
1.8731476,7.4380064,7.7378488,Normal
3.880627,2.3875635,6.6509714,Normal
3.073443,3.1287587,7.055542,Normal
0.13410422,2.040798,8.784688,Normal
6.7088895,4.9593043,7.7711725,Normal
-0.29600698,7.3942237,7.5548606,Normal
0.8270196,8.507994,6.7703977,Normal
0.82596403,7.4583178,8.6069565,Normal
3.4305768,2.2264361,6.983406,Normal
0.75319695,5.4360194,8.537628,Normal
-1.1536506,5.3773813,8.175489,Normal
0.12390489,2.3785372,8.872335,Normal
-0.0557795,2.8820748,8.553313,Normal
6.813342,3.7259638,7.370669,Normal
6.9434566,4.148101,7.44183,Normal
1.1377044,7.3128347,6.6448417,Normal
0.51459163,3.129469,9.165448,Normal
6.6390905,4.8141375,7.1769166,Normal
-0.1093449,7.8012013,6.861252,Normal
0.24631432,2.3213198,9.08815,Normal
0.23617075,2.9114485,8.485859,Normal
0.3751887,2.7801898,9.106235,Normal
-0.23966385,8.879533,7.7175746,Normal
-0.13905211,5.8832936,6.7352476,Normal
-0.6927032,3.7111392,9.251545,Normal
0.339197,4.803109,7.295871,Normal
0.110131726,4.9776382,7.0253086,Normal
3.224395,2.9380722,6.5861936,Normal
0.047946226,3.2163992,9.005068,Normal
-0.740793,2.6175354,9.387951,Normal
0.242128,3.457015,9.177784,Normal
3.5786135,1.4593365,5.392352,Normal
1.1128767,8.534449,7.68083,Normal
0.36592388,8.046337,8.124378,Normal
1.2880545,7.107322,4.55417,Normal
-0.056662653,2.0389783,8.494458,Normal
6.7258716,5.113582,7.399918,Normal
-0.9224976,5.3099723,8.178933,Normal
1.7776507,5.9742184,7.898245,Normal
2.276673,6.782605,8.201898,Normal
5.921872,4.3156996,7.217933,Normal
-0.22142719,3.2137177,9.309537,Normal
-0.23761344,3.5167513,8.433982,Normal
1.9380292,7.508843,7.3532834,Normal
-0.8224747,3.8332279,9.111151,Normal
-0.6399313,2.610528,8.774254,Normal
-0.9068857,4.9220963,8.469035,Normal
0.22493914,8.388709,7.431514,Normal
0.33454826,3.5490332,8.296561,Normal
0.96583706,7.9548187,7.015402,Normal
1.99679,7.226366,7.926993,Normal
1.815472,7.8819523,7.716895,Normal
1.1029288,3.4376113,6.583575,Normal
1.0806427,4.315392,6.1147103,Normal
-0.39824164,4.9618425,7.439219,Normal
0.6378968,3.2806957,6.2785397,Normal
-0.03400339,4.892053,8.865372,Normal
6.706474,3.7339458,7.3181086,Normal
1.904865,3.5013154,7.759514,Normal
6.63846,4.674176,7.68777,Normal
1.2220207,3.364959,6.5909424,Normal
-0.24515857,5.8227205,7.059127,Normal
-1.1910704,4.8643165,8.299403,Normal
0.16430414,2.280894,8.957421,Normal
1.5869663,3.4228961,6.282043,Normal
0.9785684,8.662165,7.5334325,Normal
-0.877861,3.0451493,8.843602,Normal
0.72580993,8.704506,8.198831,Normal
6.6863246,5.1454425,7.776682,Normal
1.8490566,2.8122232,6.5354047,Normal
1.2686864,6.8112135,8.778946,Normal
0.8393966,3.073706,8.739302,Normal
0.06015696,1.9788947,8.52666,Normal
0.07268447,7.253842,7.7257395,Normal
0.21331656,4.951697,6.4254365,Normal
-1.0314851,2.4088979,9.17873,Normal
-0.70558107,2.7358596,9.407858,Normal
0.8355169,6.30882,6.6397557,Normal
0.15786588,8.100519,8.31939,Normal
-0.48232812,4.4720235,8.433332,Normal
0.7081994,3.5710044,9.164016,Normal
-0.8736746,3.6908734,8.381219,Normal
0.4140247,4.321966,8.156192,Normal
6.0354867,5.2306714,7.269954,Normal
-0.7069118,2.1962457,9.068384,Normal
0.1875772,8.63177,7.5252767,Normal
